Year,Round,EventName,Driver,DriverNumber,Team,LapNumber,LapTime,Position,TireAge,Compound,Stint,PitInTime,PitOutTime,TrackTemp,AirTemp,Humidity,Pressure,WindDirection,WindSpeed,Rainfall,GapAhead,GapBehind,SafetyCar
2024,1,Bahrain Grand Prix,BOT,77,Kick Sauber,6.0,0 days 00:01:39.206000,19.0,6.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,0.281,-1.31,0
2024,1,Bahrain Grand Prix,GAS,10,Alpine,6.0,0 days 00:01:39.099000,17.0,6.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,0.225,-0.17400000000000004,0
2024,1,Bahrain Grand Prix,HAM,44,Mercedes,6.0,0 days 00:01:38.183000,9.0,9.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,0.13,0.178,0
2024,1,Bahrain Grand Prix,HUL,27,Haas F1 Team,6.0,0 days 00:01:37.896000,20.0,5.0,HARD,2.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,-1.31,,0
2024,1,Bahrain Grand Prix,LEC,16,Ferrari,6.0,0 days 00:01:37.782000,3.0,9.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,236,1.1,False,-0.0020000000000000018,0.041,0
2024,1,Bahrain Grand Prix,MAG,20,Haas F1 Team,6.0,0 days 00:01:38.529000,12.0,6.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,-0.04600000000000004,-0.041000000000000036,0
2024,1,Bahrain Grand Prix,NOR,4,McLaren,6.0,0 days 00:01:37.896000,6.0,9.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,236,1.1,False,0.155,0.059,0
2024,1,Bahrain Grand Prix,OCO,31,Alpine,6.0,0 days 00:01:38.874000,16.0,6.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,0.185,0.225,0
2024,1,Bahrain Grand Prix,PER,11,Red Bull Racing,6.0,0 days 00:01:37.823000,4.0,9.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,236,1.1,False,0.041,-0.08199999999999996,0
2024,1,Bahrain Grand Prix,PIA,81,McLaren,6.0,0 days 00:01:37.955000,7.0,9.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,0.059,0.098,0
